Evento,Categoría,Fecha,Hora (ARG),Descripción,Impacto,Fuente
Festival Internacional de la Canción de Viña del Mar 2026,Especiales,2026-02-23,21:30 ART,"Festival de música internacional que se celebra en Viña del Mar, Chile. El 23 de febrero contará con las actuaciones de Pet Shop Boys y Bomba Estéreo, además de un show de humor. Transmitido en vivo por Disney+ para toda Latinoamérica.",Alto,https://www.tycsports.com/interes-general/festival-de-vina-del-mar-2026-fechas-la-grilla-completa-y-como-ver-online-id714378.html
VALORANT Match: KRÜ Spark vs Farenvehn,Gaming,2026-02-23,04:00 ART,Enfrentamiento de VALORANT entre KRÜ Spark y Farenvehn. KRÜ Esports es una organización con gran seguimiento en Argentina. Transmisión en vivo por Twitch (valorant_la).,Medio,https://tips.gg/es/matches/valorant/23-02-2026/kru-spark-vs-farenvehn/07-00/streams/
Argentina Open 2026 (ATP 250 Buenos Aires),Deportes,2026-02-23,14:00 ART,"Inicio del cuadro principal del ATP 250 de Buenos Aires. Partidos destacados incluyen Damir Dzumhur vs. Hugo Dellien (14:00 ART), Midón vs. Pedro Martínez (no antes de 14:30 ART) y Alex Barrena vs. Vit Kopriva (no antes de 20:00 ART). Transmisión en vivo por TyC Sports y TyC Sports Play.",Medio,https://www.infobae.com/deportes/2026/02/08/con-12-tenistas-locales-comienza-el-argentina-open-orden-de-juego-y-como-ver-todos-los-partidos-en-vivo/
San Lorenzo vs. Instituto,Deportes,2026-02-24,17:00 ART,"Partido de la Fecha 7 del Torneo Apertura de la Liga Profesional Argentina. Transmisión en vivo por TyC Sports, ESPN y LPF Play.",Medio,https://www.tycsports.com/liga-profesional-de-futbol/fecha-7-apertura-2026-fixture-resultados-liga-profesional-argentina-san-lorenzo-independiente-racing-river-id714670.html
Banfield vs. Newell's Old Boys,Deportes,2026-02-21,19:00 ART,Partido del Torneo Apertura de la Liga Profesional de Argentina. Transmisión en vivo por LPF Play.,Medio,https://www.futbolargentino.com/partidos-hoy/
Gimnasia (M) vs. Independiente,Deportes,2026-02-24,19:30 ART,"Partido de la Fecha 7 del Torneo Apertura de la Liga Profesional Argentina. Transmisión en vivo por TyC Sports, ESPN y LPF Play.",Medio,https://www.tycsports.com/liga-profesional-de-futbol/fecha-7-apertura-2026-fixture-resultados-liga-profesional-argentina-san-lorenzo-independiente-racing-river-id714670.html
Partidos de la Primera B Metropolitana,Deportes,2026-02-23,A confirmar,Jornada de partidos de la Primera B Metropolitana del fútbol argentino. Transmisión en vivo por LPF Play.,Medio,https://www.ole.com.ar/agenda-deportiva/partidos-hoy-lunes-23-febrero-2026-horario-ver-futbol-vivo-online_0_g0CCp6D05g.amp.html
Paradise (Temporada 2),Streaming,2026-02-23,A confirmar,Estreno de la segunda temporada de la aclamada serie de ciencia ficción 'Paradise'. Disponible en Disney+.,Medio,https://as.com/meristation/series/todos-los-estrenos-y-novedades-para-febrero-de-2026-en-netflix-disney-amazon-prime-video-hbo-max-y-movistar-f202602-n/
Taylor Tomlinson: Prodigal Daughter,Streaming,2026-02-24,A confirmar,Estreno del especial de comedia de la reconocida stand-upera Taylor Tomlinson. Disponible en Netflix.,Medio,https://cincodias.elpais.com/smartlife/smart-tv/2026-02-23/estrenos-plataformas-semana-23-febrero-2026.html
Ciudad de Bolívar vs. Los Andes,Deportes,2026-02-22,17:00 ART,Partido de la Primera Nacional de Argentina. Transmisión en vivo por LPF Play.,Bajo,https://www.futbolargentino.com/partidos-hoy/
